username,id,created_at,name,verified,profile_image_url,description,protected,location,url,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count,entities.url.urls,entities.description.hashtags,entities.description.urls,pinned_tweet_id,entities.description.mentions
RepConnieConway,1544718378987933703,2022-07-06T16:24:50.000Z,Connie Conway,True,https://pbs.twimg.com/profile_images/1556715482920673288/M83OCOda_normal.jpg,"Mom, grandmom, wife, daughter of the Central Valley, and Representative of the people of California's 22nd Congressional District. #CA22",False,"Tulare, CA / Washington, D.C.",https://t.co/Iw5uKMYU4t,220,5,60,7,"[{'start': 0, 'end': 23, 'url': 'https://t.co/Iw5uKMYU4t', 'expanded_url': 'http://Conway.House.gov', 'display_url': 'Conway.House.gov'}]","[{'start': 131, 'end': 136, 'tag': 'CA22'}]",,,
repmayraflores,1538990997769707523,2022-06-20T21:07:08.000Z,Congresswoman Mayra Flores,True,https://pbs.twimg.com/profile_images/1539418113908822017/5I3BJhTM_normal.jpg,Proudly representing Texas's 34th District in the US House of Representatives,False,,,27800,55,277,48,,,,,
CongresswomanSC,1484252226646421505,2022-01-20T19:53:08.000Z,Congresswoman Sheila Cherfilus-McCormick,False,https://pbs.twimg.com/profile_images/1491801858284797968/AqKJ9ylv_normal.jpg,"Congresswoman Sheila Cherfilus-McCormick 📍Proudly Serving FL's 20th District | She/Her/Hers | Proud Mom, Wife, and Public Servant #workingforthepeople",False,"Miramar, FL",https://t.co/wE6d2R5SXn,1005,25,284,36,"[{'start': 0, 'end': 23, 'url': 'https://t.co/wE6d2R5SXn', 'expanded_url': 'https://cherfilus-mccormick.house.gov', 'display_url': 'cherfilus-mccormick.house.gov'}]","[{'start': 130, 'end': 150, 'tag': 'workingforthepeople'}]",,,
RepMikeCarey,1457745193197780993,2021-11-08T16:21:58.000Z,Congressman Mike Carey,True,https://pbs.twimg.com/profile_images/1460275590431481857/0ZMl5M80_normal.jpg,"Congressman Mike Carey. Proudly serving Ohio's 15th Congressional District

https://t.co/ZaueiEr7sd",False,,https://t.co/CnOlkJTpaX,1075,283,907,43,"[{'start': 0, 'end': 23, 'url': 'https://t.co/CnOlkJTpaX', 'expanded_url': 'https://carey.house.gov', 'display_url': 'carey.house.gov'}]",,"[{'start': 76, 'end': 99, 'url': 'https://t.co/ZaueiEr7sd', 'expanded_url': 'https://www.facebook.com/RepMikeCarey', 'display_url': 'facebook.com/RepMikeCarey'}]",,
RepShontelBrown,1456381091598700556,2021-11-04T22:01:33.000Z,Rep. Shontel Brown,True,https://pbs.twimg.com/profile_images/1470758921426157573/femaCo6L_normal.jpg,Representative for Ohio’s Eleventh Congressional District.,False,,https://t.co/v695zCnmxN,32924,348,911,163,"[{'start': 0, 'end': 23, 'url': 'https://t.co/v695zCnmxN', 'expanded_url': 'https://shontelbrown.house.gov/', 'display_url': 'shontelbrown.house.gov'}]",,,1463532439456952323,
Rep_Stansbury,1404519992582942724,2021-06-14T19:25:16.000Z,Rep. Melanie Stansbury,True,https://pbs.twimg.com/profile_images/1456487474843340806/E-jaow7u_normal.jpg,"Representing New Mexico’s 1st Congressional District. Fighting for our future. Working every day to build a more just, equitable and resilient world.",False,"Albuquerque, NM",https://t.co/qNuynCST40,7628,203,2547,116,"[{'start': 0, 'end': 23, 'url': 'https://t.co/qNuynCST40', 'expanded_url': 'https://stansbury.house.gov/', 'display_url': 'stansbury.house.gov'}]",,,1536706270979235841,
RepJuliaLetlow,1382395679700439041,2021-04-14T18:12:03.000Z,Congresswoman Julia Letlow,True,https://pbs.twimg.com/profile_images/1390712430246907908/aGMAFRtZ_normal.jpg,Proudly Representing #LA05 in Congress | Mom to Jeremiah and Jacqueline | Former Educator and Lifelong Learner | Christian | Conservative,False,Louisiana,https://t.co/lgE5OKXtFy,4241,309,1078,52,"[{'start': 0, 'end': 23, 'url': 'https://t.co/lgE5OKXtFy', 'expanded_url': 'http://letlow.house.gov', 'display_url': 'letlow.house.gov'}]","[{'start': 21, 'end': 26, 'tag': 'LA05'}]",,,
RepEllzey,1366523868253458437,2021-03-01T23:01:32.000Z,Rep. Jake Ellzey,True,https://pbs.twimg.com/profile_images/1501241703088496640/GbthKQv-_normal.jpg,Official Twitter account of the office of Congressman Jake Ellzey of Texas' 6th Congressional District.,False,,,1379,107,181,50,,,,,
Rep_Clyde,1357017361568694274,2021-02-03T17:25:52.000Z,Rep. Andrew Clyde,True,https://pbs.twimg.com/profile_images/1357017586647629826/0Gp14jBE_normal.jpg,U.S. Representative for #GA09 | @HomelandGOP & @GOPoversight | @freedomcaucus,False,"Gainesville,GA & Washington,DC",https://t.co/ocSCx3kycZ,4971,580,1657,218,"[{'start': 0, 'end': 23, 'url': 'https://t.co/ocSCx3kycZ', 'expanded_url': 'http://clyde.house.gov', 'display_url': 'clyde.house.gov'}]","[{'start': 24, 'end': 29, 'tag': 'GA09'}]",,,"[{'start': 32, 'end': 44, 'username': 'HomelandGOP'}, {'start': 47, 'end': 60, 'username': 'GOPoversight'}, {'start': 63, 'end': 77, 'username': 'freedomcaucus'}]"
RepTroyCarter,1352760304271241218,2021-01-22T23:29:39.000Z,Congressman Troy A. Carter,True,https://pbs.twimg.com/profile_images/1523705945561481216/ejpHHr8-_normal.jpg,"Proudly representing Louisiana’s 2nd Congressional District.                                Member, @TransportDems & @HouseSmallBiz #TheVoiceOfThePeople",False,"District 02, Louisiana",https://t.co/fMhb4Nxtcv,4277,2879,2236,74,"[{'start': 0, 'end': 23, 'url': 'https://t.co/fMhb4Nxtcv', 'expanded_url': 'http://troycarter.house.gov', 'display_url': 'troycarter.house.gov'}]","[{'start': 132, 'end': 152, 'tag': 'TheVoiceOfThePeople'}]",,,"[{'start': 100, 'end': 114, 'username': 'TransportDems'}, {'start': 117, 'end': 131, 'username': 'HouseSmallBiz'}]"
