profile_image_url,description,id,protected,verified,username,location,url,pinned_tweet_id,name,created_at,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count,entities.url.urls,entities.description.mentions,entities.description.urls,entities.description.hashtags,screenName,party
https://pbs.twimg.com/profile_images/1493759501035454465/n7YEaIPp_normal.jpg,"Gemeinderat @al_zuerich. Arbeitet in der @ETHBibliothek. Twittert privat. Immer radikal, niemals konsequent.",25254764,False,False,andreaskirstein,Zürich,https://t.co/pbzTpZ2ztz,1180883993480323073,Andreas Kirstein,2009-03-19T07:21:05.000Z,743.0,523.0,13640.0,38.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/pbzTpZ2ztz', 'expanded_url': 'http://www.kirstein.ch', 'display_url': 'kirstein.ch'}]","[{'start': 12, 'end': 23, 'username': 'al_zuerich'}, {'start': 41, 'end': 55, 'username': 'ETHBibliothek'}]",,,andreaskirstein,AL
https://pbs.twimg.com/profile_images/1311789374263230464/vDPh5QTA_normal.jpg,"Alt-Gemeinderat Winterthur (Alternative Liste). Hostellerie. Belarus/Postsoviet de-facto-Regime. Atheist, Zugfahrer und Ex-OS/2-User.
Post-Soviet-space cooking.",472372843,False,False,bergerwthur,Winterthur,https://t.co/O4Ttdturoi,1489912638012276737,David B. aus W. 📠 🚱🦬✭,2012-01-23T21:48:27.000Z,526.0,376.0,8473.0,17.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/O4Ttdturoi', 'expanded_url': 'https://github.com/balzamas/recipes/', 'display_url': 'github.com/balzamas/recip…'}]",,,,bergerwthur,AL
https://pbs.twimg.com/profile_images/378800000568854080/cc384cd7407821d24f14f7fae1ca7e6e_normal.jpeg,,1948049047,False,False,maenij,,,,Martin Jucker,2013-10-08T22:14:11.000Z,5.0,21.0,4.0,0.0,,,,,maenij,AL
https://pbs.twimg.com/profile_images/1430189232136630275/MG0Jq0Qu_normal.jpg,Seit 2002 Mitglied des Gemeinderats. Leiter Kommunikation beim @MV_Zuerich.,778497337,False,False,walterangst,Zürich,https://t.co/c2E4fZgf8f,,Walter Angst,2012-08-24T16:14:11.000Z,1042.0,763.0,2052.0,26.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/c2E4fZgf8f', 'expanded_url': 'http://walterangst.ch', 'display_url': 'walterangst.ch'}]","[{'start': 63, 'end': 74, 'username': 'MV_Zuerich'}]",,,walterangst,AL
https://pbs.twimg.com/profile_images/1481324954801086466/ZM9uDl9Y_normal.jpg,Regierungsrätin/Finanzdirektorin,383803341,False,False,asba_j,,,,Astrid Bärtschi,2011-10-02T15:04:58.000Z,1484.0,1456.0,5834.0,53.0,,,,,asba_j,BDP
https://pbs.twimg.com/profile_images/539827371465924608/YQQGjeuC_normal.jpeg,,891735564,False,False,beining_bdp,,http://t.co/z2yaUr5K2o,,Kevin Beining,2012-10-19T20:10:34.000Z,72.0,28.0,142.0,3.0,"[{'start': 0, 'end': 22, 'url': 'http://t.co/z2yaUr5K2o', 'expanded_url': 'http://www.beining.ch', 'display_url': 'beining.ch'}]",,,,beining_bdp,BDP
https://pbs.twimg.com/profile_images/969689680177455105/_fkdLwhl_normal.jpg,"Mittepolitiker, altNationalrat  altFraktions-Vize-Präsident BDP, Elektroingenieur, Imker, Feuerwehrmann, Läufer
https://t.co/1pKjg63cY6",113616426,False,False,bernhardguhl,"Niederrohrdorf AG, Switzerland",https://t.co/UrAQLszHh7,,Bernhard Guhl 🇺🇦,2010-02-12T12:19:14.000Z,3425.0,2479.0,11159.0,135.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/UrAQLszHh7', 'expanded_url': 'http://www.bernhard-guhl.ch', 'display_url': 'bernhard-guhl.ch'}]",,"[{'start': 112, 'end': 135, 'url': 'https://t.co/1pKjg63cY6', 'expanded_url': 'http://amtsenthebungsinitiative.ch', 'display_url': 'amtsenthebungsinitiative.ch'}]",,bernhardguhl,BDP
https://pbs.twimg.com/profile_images/1485986787717701636/as714Bh4_normal.jpg,"Conseiller communal, vice-président du @PLR_Morges , responsable d'une fiduciaire et sapeur-pompier volontaire.",327334911,False,False,boschettisteen,"Préverenges, Vaud, Suisse",https://t.co/3KZWdpIJFz,,Steen Boschetti,2011-07-01T11:51:18.000Z,2867.0,2106.0,16137.0,101.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/3KZWdpIJFz', 'expanded_url': 'http://www.steenboschetti.ch', 'display_url': 'steenboschetti.ch'}]","[{'start': 39, 'end': 50, 'username': 'PLR_Morges'}]",,,boschettisteen,BDP
https://pbs.twimg.com/profile_images/3625896856/acb00cbfa88bbff195d4291021017be9_normal.jpeg,Avocat - Green Avocats,894109866,False,False,charlespiguet,Genève,,,Charles Piguet,2012-10-20T21:58:37.000Z,363.0,316.0,714.0,20.0,,,,,charlespiguet,BDP
https://pbs.twimg.com/profile_images/596094344433692672/t3HLxZxo_normal.jpg,bin beruflich Chefapotheker bei der Spitäler fmi AG; äussere hier meine private Meinung; Betreiber der Webseite https://t.co/mhL7jn61IZ,98725334,False,False,enea_martinelli,Matten bei Interlaken,https://t.co/3RKaoPMONL,,Enea Martinelli,2009-12-22T21:37:39.000Z,1008.0,689.0,2734.0,39.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/3RKaoPMONL', 'expanded_url': 'http://www.enea-martinelli.ch', 'display_url': 'enea-martinelli.ch'}]",,"[{'start': 112, 'end': 135, 'url': 'https://t.co/mhL7jn61IZ', 'expanded_url': 'http://drugshortage.ch', 'display_url': 'drugshortage.ch'}]",,enea_martinelli,BDP
https://pbs.twimg.com/profile_images/581219809528020992/w6fDTONa_normal.jpg,Wirtschaftsingenieur und Politik interessiert,275182338,False,False,fa_b_au,,,,Fabian Baumann,2011-03-31T19:53:47.000Z,285.0,488.0,684.0,14.0,,,,,fa_b_au,BDP
https://pbs.twimg.com/profile_images/775641592166223872/p6tf6tTc_normal.jpg,"Co-Präsident BDP Basel-Stadt,",1117756470,False,False,hubertackermann,Basel,https://t.co/Bt5L6Id13z,,Hubert Ackermann,2013-01-24T21:15:46.000Z,226.0,281.0,353.0,5.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/Bt5L6Id13z', 'expanded_url': 'http://www.bdp.info/bs', 'display_url': 'bdp.info/bs'}]",,,,hubertackermann,BDP
https://pbs.twimg.com/profile_images/1513816593398177792/NL3U9RoF_normal.jpg,"Vizepräsident Die Mitte Schweiz, alt Grossrat Kanton Bern",490318804,False,False,jangnaegi,"Aarberg, Schweiz",https://t.co/c8wc0bQehc,,Jan Gnägi,2012-02-12T12:51:34.000Z,602.0,448.0,430.0,15.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/c8wc0bQehc', 'expanded_url': 'http://www.jan-gnaegi.ch', 'display_url': 'jan-gnaegi.ch'}]",,,,jangnaegi,BDP
https://pbs.twimg.com/profile_images/1205039762626797568/LnUuslEQ_normal.jpg,Nationalrat Die Mitte Kt. Bern,1543019749,False,False,lorenzhess,Bern,,,Lorenz Hess,2013-06-24T10:34:44.000Z,1922.0,103.0,349.0,97.0,,,,,lorenzhess,BDP
https://pbs.twimg.com/profile_images/634362051763269633/7JxzCRfF_normal.jpg,"Avocat, Juge d'instruction militaire, membre du conseil municipal de Pregny-Chambésy (GE).",366183985,False,False,l_thurnherr,"Genève, Suisse",,,Thurnherr Laurent,2011-09-01T18:32:37.000Z,148.0,55.0,462.0,13.0,,,,,l_thurnherr,BDP
https://pbs.twimg.com/profile_images/1305604079/wopmannlukas-web_normal.jpg,"Gemeinderat, alt Grossrat, dipl. Hotelier/Restaurateur HF, Betriebsökonom (BSc), Master in Aviation Management, Laienschauspieler, Aviatikfan #SayNoToReligion",279572642,False,False,lukaswopmann,Würenlos,https://t.co/9DWH4UIH3I,,Lukas Wopmann,2011-04-09T15:01:50.000Z,163.0,145.0,1098.0,15.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/9DWH4UIH3I', 'expanded_url': 'https://bdp.info/lukas-wopmann/', 'display_url': 'bdp.info/lukas-wopmann/'}]",,,"[{'start': 142, 'end': 158, 'tag': 'SayNoToReligion'}]",lukaswopmann,BDP
https://pbs.twimg.com/profile_images/1138362788986990592/wMvpVl-I_normal.png,,313901005,False,False,maberner,Ostschweiz,,,Markus Berner,2011-06-09T11:55:46.000Z,98.0,69.0,151.0,8.0,,,,,maberner,BDP
https://pbs.twimg.com/profile_images/1131124015375028225/_pwyunFS_normal.jpg,"Mitglied bei @Mitte_Centre, Vorstandsmitglied bei @DieJungeMitteEO #AufbruchMitte",1044821581,False,False,marcel_erhard,"Lützelflüh, Schweiz",https://t.co/wfFqbeI1DK,,Marcel Erhard,2012-12-29T13:09:33.000Z,336.0,251.0,1780.0,16.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/wfFqbeI1DK', 'expanded_url': 'http://marcelerhard.ch', 'display_url': 'marcelerhard.ch'}]","[{'start': 13, 'end': 26, 'username': 'Mitte_Centre'}, {'start': 50, 'end': 66, 'username': 'DieJungeMitteEO'}]",,"[{'start': 67, 'end': 81, 'tag': 'AufbruchMitte'}]",marcel_erhard,BDP
https://pbs.twimg.com/profile_images/1093816018747707392/0B9Nw7LH_normal.jpg,,280891535,False,False,markusdietschi,,,,Markus Dietschi,2011-04-12T06:51:57.000Z,110.0,95.0,60.0,6.0,,,,,markusdietschi,BDP
https://pbs.twimg.com/profile_images/1320693162185248769/9woWMf5S_normal.jpg,Strassentransportfachmann und Familienvater. Mitglied der SVP Basel-Stadt/Schulrat Gotthelf,1110088908,False,False,martinkrumm,Basel/Schweiz/Switzerland,https://t.co/KZo4VzfPSq,,Martin Krumm,2013-01-21T21:15:08.000Z,822.0,1399.0,7674.0,28.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/KZo4VzfPSq', 'expanded_url': 'http://www.martinkrumm.ch', 'display_url': 'martinkrumm.ch'}]",,,,martinkrumm,BDP
https://pbs.twimg.com/profile_images/794838274418372608/BNC6xlaU_normal.jpg,"Versicherungs-Fachmann mit eidg. Fachausweis,  Treuhänder mit Fachausweis und eidg. dipl. Finanzplanungs-Experte",428852601,False,False,michaelmerkli,Wettingen Schweiz,http://t.co/Z9cY6aucLy,,Michael Merkli,2011-12-05T07:56:01.000Z,111.0,107.0,470.0,9.0,"[{'start': 0, 'end': 22, 'url': 'http://t.co/Z9cY6aucLy', 'expanded_url': 'http://michaelmerkli.ch', 'display_url': 'michaelmerkli.ch'}]",,,,michaelmerkli,BDP
https://pbs.twimg.com/profile_images/1507081820969517062/FC91Uiqx_normal.png,,1507081720679608327,False,False,nataschawinkler,,,,Natascha Winkler,2022-03-24T19:48:00.000Z,0.0,1.0,0.0,0.0,,,,,nataschawinkler,BDP
https://pbs.twimg.com/profile_images/784350237066485760/Z_X5yoWm_normal.jpg,Leiterin Kommunikation Berner KMU,3235941796,False,False,ninazosso,"Bern, Schweiz",https://t.co/JsHQ8OpTVL,,Nina Zosso,2015-05-05T13:36:08.000Z,592.0,543.0,907.0,25.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/JsHQ8OpTVL', 'expanded_url': 'https://www.facebook.com/pages/Nina-Zosso/743735019066836', 'display_url': 'facebook.com/pages/Nina-Zos…'}]",,,,ninazosso,BDP
https://pbs.twimg.com/profile_images/643309070003359744/g3OErBI-_normal.jpg,Im Moment nicht mehr aktiv auf Twitter,2834845605,False,False,patrickcaminada,"Walenstadt, Schweiz",,,Patrick Caminada,2014-10-17T09:01:02.000Z,225.0,428.0,308.0,12.0,,,,,patrickcaminada,BDP
https://pbs.twimg.com/profile_images/1055366320932446209/8T2hErOM_normal.jpg,,3130974321,False,False,philipkohli,,,,Philip Kohli,2015-04-01T11:36:19.000Z,168.0,154.0,29.0,6.0,,,,,philipkohli,BDP
https://pbs.twimg.com/profile_images/1397677263894847493/gge9LBOi_normal.jpg,"bürgerlicher Pragmatiker 🗳️, Jurist ⚖️, Aviatik-Geek ✈️ und vieles mehr...",357461846,False,False,phtschopp,"Staufen, Schweiz",,,Philippe Tschopp,2011-08-18T12:02:31.000Z,845.0,1377.0,3467.0,38.0,,,,,phtschopp,BDP
https://pbs.twimg.com/profile_images/1122107912409812992/768UEx7C_normal.jpg,Alt-Präsident @BDPBaselStadt,1110140305,False,False,rolandweiner,Basel,,,Roland Weiner,2013-01-21T21:41:59.000Z,38.0,102.0,13.0,1.0,,"[{'start': 14, 'end': 28, 'username': 'BDPBaselStadt'}]",,,rolandweiner,BDP
https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1432396646273404935,False,False,sandraborgeaud,,,,Sandra Borgeaud,2021-08-30T17:36:09.000Z,0.0,0.0,0.0,0.0,,,,,sandraborgeaud,BDP
https://pbs.twimg.com/profile_images/1522260639539945473/5rZCRknC_normal.jpg,Treibt die Energiewende im Elektrizitätswerk voran ⚡️// ⚜️ // Firefighter 🚒// 5. Jahreszeitliebhaber🎉 // traditionell und trotzdem nicht altmodisch 😉,133430591,False,False,scoutsky,Windisch,,,Jonas Sky Häberling,2010-04-15T19:35:32.000Z,297.0,961.0,1031.0,11.0,,,,,scoutsky,BDP
https://pbs.twimg.com/profile_images/642434164319481857/dgoJR1W7_normal.jpg,Economiste et maire de Perrefitte,84531913,False,False,virginieheyer,Switzerland,http://t.co/ZWRNrcD4vd,,Virginie Heyer,2009-10-23T07:40:03.000Z,113.0,84.0,51.0,10.0,"[{'start': 0, 'end': 22, 'url': 'http://t.co/ZWRNrcD4vd', 'expanded_url': 'http://www.virginieheyer.ch', 'display_url': 'virginieheyer.ch'}]",,,,virginieheyer,BDP
https://pbs.twimg.com/profile_images/800853066899714048/UNHZTGlN_normal.jpg,Grossrätin,3294132370,False,False,aebischer_fr,"Courgevaux, Suisse",,,Susanne Aebischer,2015-05-22T14:36:07.000Z,218.0,35.0,485.0,11.0,,,,,aebischer_fr,CVP
https://pbs.twimg.com/profile_images/636455793928335360/vnguqjtk_normal.jpg,Candidate au Conseil national et au Parlement jurassien - Etudiante en Droit à l'UniNE,3261853661,False,False,anaisgirardin,"Jura, Schweiz",,,Anaïs Girardin,2015-05-16T15:38:24.000Z,94.0,84.0,51.0,9.0,,,,,anaisgirardin,CVP
https://pbs.twimg.com/profile_images/613701269845225472/gZ6TU1hd_normal.jpg,Senior Business Project Manager @creditsuisse | Member of the Municipality Council of Winterthur | Karate Sensei 🥋,2842999804,False,False,aoz86,"Winterthur, Schweiz",https://t.co/9WAh1b7zfg,,André Zuraikat,2014-10-24T22:45:32.000Z,87.0,95.0,134.0,15.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/9WAh1b7zfg', 'expanded_url': 'http://www.andrezuraikat.ch', 'display_url': 'andrezuraikat.ch'}]","[{'start': 32, 'end': 45, 'username': 'creditsuisse'}]",,,aoz86,CVP
https://pbs.twimg.com/profile_images/475712144550273025/IO6uZ5xI_normal.jpeg,"Grossrat die Mitte Aargau  (Präsident der Christlichsozialen Aargau)
Geschäftsführer VAOF",2581264719,False,False,arotzetter,Buchs AG,https://t.co/LWereoFPeP,,andre rotzetter,2014-06-03T20:16:03.000Z,336.0,471.0,390.0,21.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/LWereoFPeP', 'expanded_url': 'http://andre-rotzetter.ch', 'display_url': 'andre-rotzetter.ch'}]",,,,arotzetter,CVP
https://pbs.twimg.com/profile_images/614105468345004032/-Tal1i2L_normal.jpg,"Dipl. Physiotherapeut FH, Gesundheitswesen und Prävention, Familie und Altersvorsorge, Migration und Integration, Kulturförderung, CVP Aargau",3009770681,False,False,avaida10,"Würenlingen, Schweiz",,,alexander vaida,2015-02-01T09:54:49.000Z,43.0,90.0,17.0,7.0,,,,,avaida10,CVP
