Position,Track Name,Artist,Streams
1,Easy On Me,Adele,45999350
2,STAY (with Justin Bieber),The Kid LAROI,40952880
3,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,35868673
4,Shivers,Ed Sheeran,31926382
5,Bad Habits,Ed Sheeran,29146450
6,Heat Waves,Glass Animals,28914541
7,Cold Heart - PNAU Remix,Elton John,27056846
8,Pepas,Farruko,25177953
9,MONEY,LISA,24534462
10,My Universe,Coldplay,22784601
11,Woman,Doja Cat,21676842
12,love nwantiti (ah ah ah),CKay,20108314
13,Moth To A Flame (with The Weeknd),Swedish House Mafia,19773196
14,Overpass Graffiti,Ed Sheeran,19584255
15,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,19519658
16,THATS WHAT I WANT,Lil Nas X,18208929
17,good 4 u,Olivia Rodrigo,18077549
18,Need to Know,Doja Cat,17801187
19,Beggin',Måneskin,17721489
20,MONTERO (Call Me By Your Name),Lil Nas X,16617366
21,Kiss Me More (feat. SZA),Doja Cat,16421926
22,Life Goes On,Oliver Tree,16151025
23,Happier Than Ever,Billie Eilish,15725534
24,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,15156994
25,Blinding Lights,The Weeknd,14038265
26,Meet Me At Our Spot,THE ANXIETY,13434211
27,Yonaguni,Bad Bunny,13333590
28,Where Are You Now,Lost Frequencies,13277524
29,Levitating (feat. DaBaby),Dua Lipa,13057498
30,traitor,Olivia Rodrigo,12983231
31,Ghost,Justin Bieber,12476748
32,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,12388381
33,Way 2 Sexy (with Future & Young Thug),Drake,11999907
34,Todo De Ti,Rauw Alejandro,11855525
35,Volví,Aventura,11843037
36,Toxic,BoyWithUke,11548495
37,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,11155738
38,Don't Be Shy,Tiësto,10753700
39,Sweater Weather,The Neighbourhood,10723029
40,Nostálgico,Rvssian,10567439
41,Take My Breath,The Weeknd,10551823
42,Knife Talk (with 21 Savage ft. Project Pat),Drake,10543166
43,OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,10138933
44,I Love You So,The Walters,10012889
45,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,9883061
46,drivers license,Olivia Rodrigo,9802066
47,In Da Getto,J Balvin,9230668
48,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,9099139
49,Watermelon Sugar,Harry Styles,9049090
50,Butter,BTS,8986185
51,Fair Trade (with Travis Scott),Drake,8870608
52,Praise God,Kanye West,8836910
53,Ley Seca,Jhay Cortez,8705425
54,2step,Ed Sheeran,8704504
